"ATP","Location","Tournament","Date","Series","Court","Surface","Round","Best.of","Winner","Loser","WRank","LRank","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","Comment"
6,"Melbourne","Australian Open","1/17/00","Grand Slam","Outdoor","Hard","1st Round",5,"Agassi A.","Puerta M.","1","112","6","2",6,2,6,3,NA,NA,NA,NA,3,0,"Completed"
6,"Melbourne","Australian Open","1/17/00","Grand Slam","Outdoor","Hard","1st Round",5,"Alami K.","Manta L.","35","107","6","4",7,6,7,5,NA,NA,NA,NA,3,0,"Completed"
6,"Melbourne","Australian Open","1/17/00","Grand Slam","Outdoor","Hard","1st Round",5,"Arazi H.","Alonso J.","41","111","6","3",7,6,6,2,NA,NA,NA,NA,3,0,"Completed"
6,"Melbourne","Australian Open","1/17/00","Grand Slam","Outdoor","Hard","1st Round",5,"Behrend T.","Meligeni F.","106","28","6","2",4,6,6,7,6,3,6,0,3,2,"Completed"
6,"Melbourne","Australian Open","1/17/00","Grand Slam","Outdoor","Hard","1st Round",5,"Bjorkman J.","Stoltenberg J.","76","81","6","7",6,4,6,4,0,6,6,4,3,2,"Completed"
6,"Melbourne","Australian Open","1/17/00","Grand Slam","Outdoor","Hard","1st Round",5,"Black W.","Gambill J.M.","151","57","7","6",6,1,6,4,NA,NA,NA,NA,3,0,"Completed"
6,"Melbourne","Australian Open","1/17/00","Grand Slam","Outdoor","Hard","1st Round",5,"Clavet F.","Hrbaty D.","39","22","3","6",6,1,6,4,7,6,NA,NA,3,1,"Completed"
6,"Melbourne","Australian Open","1/17/00","Grand Slam","Outdoor","Hard","1st Round",5,"Clement A.","van Lottum J.","54","66","7","6",6,4,NA,NA,NA,NA,NA,NA,2,0,"Retired"
6,"Melbourne","Australian Open","1/17/00","Grand Slam","Outdoor","Hard","1st Round",5,"Corretja A.","Sargsian S.","30","51","7","6",6,4,6,4,NA,NA,NA,NA,3,0,"Completed"
6,"Melbourne","Australian Open","1/17/00","Grand Slam","Outdoor","Hard","1st Round",5,"Dosedel S.","Boutter J.","64","155","7","6",5,7,6,3,7,5,NA,NA,3,1,"Completed"
6,"Melbourne","Australian Open","1/17/00","Grand Slam","Outdoor","Hard","1st Round",5,"Dupuis A.","Rodriguez M.","98","119","6","4",6,4,7,6,NA,NA,NA,NA,3,0,"Completed"
