id (string),tokens (sequence),ner_tags (sequence),ner_coarse_tags (sequence)
"""0""","[ ""dd"", "")"", ""Art."", ""33"", ""Abs."", ""5"", ""GG"", ""würde"", ""demnach"", ""die"", ""Möglichkeit"", ""nicht"", ""ausschließen"", "","", ""unter"", ""den"", ""vorgenannten"", ""Bedingungen"", ""in"", ""Ausnahmefällen"", ""andere"", ""als"", ""Lebenszeitrichterverhältnisse"", ""zu"", ""begründen"", ""."" ]","[ 38, 38, 3, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 2, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""1""","[ ""In"", ""diesem"", ""machte"", ""er"", ""im"", ""Wege"", ""der"", ""Stufenklage"", ""Pflichtteils-"", ""und"", ""Pflichtteilsergänzungsansprüche"", ""gegen"", ""die"", ""Restitutionsbeklagte"", ""("", ""im"", ""Folgenden"", "":"", ""Beklagte"", "")"", ""aus"", ""dem"", ""Erbfall"", ""nach"", ""dem"", ""am"", ""26."", ""Juni"", ""2006"", ""verstorbenen"", ""Erblasser"", ""geltend"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""2""","[ ""Auch"", ""kann"", ""die"", ""spezielle"", ""Auswahl"", ""von"", ""im"", ""Stand"", ""der"", ""Technik"", ""als"", ""beliebig"", ""einsetzbar"", ""beschriebenen"", ""Bedienelementen"", ""keine"", ""erfinderische"", ""Tätigkeit"", ""begründen"", "","", ""zumal"", ""Bedienhebel"", ""das"", ""klassische"", ""Bedieninstrument"", ""bilden"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""3""","[ ""Der"", ""erfindungsgemäße"", ""Saug-Spül-Handgriff"", ""weist"", ""eine"", ""Ventilaufnahme"", ""auf"", "","", ""in"", ""die"", ""ein"", ""Ventileinsatz"", ""mit"", ""Ventilen"", ""zum"", ""Öffnen"", ""und"", ""Schließen"", ""der"", ""Saug-"", """", ""Spül-Kanäle"", ""eingesetzt"", ""werden"", ""kann"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""4""","[ ""Mit"", ""der"", ""Revision"", ""verfolgt"", ""der"", ""Kläger"", ""sein"", ""Zahlungsbegehren"", ""hinsichtlich"", ""des"", ""Restbetrags"", ""weiter"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""5""","[ ""Dass"", ""die"", ""Beklagte"", ""bei"", ""der"", ""Zuordnung"", ""der"", ""Fallzahlen"", ""von"", ""der"", ""Vorgabe"", ""im"", ""Beschluss"", ""des"", ""EBewA"", ""vom"", ""27."", """", ""28."", ""8."", ""2008"", ""zu"", ""einer"", ""Aufteilung"", ""nach"", ""Kopfteilen"", ""im"", ""ersten"", ""Halbjahr"", ""2009"", ""zugunsten"", ""der"", ""Klägerin"", ""abgewichen"", ""sei"", "","", ""beschwere"", ""diese"", ""nicht"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""6""","[ ""Weist"", ""die"", ""Wortfolge"", ""einen"", ""unterscheidungskräftigen"", ""Bestandteil"", ""auf"", "","", ""wird"", ""dies"", ""im"", ""Regelfall"", ""dazu"", ""führen"", "","", ""dass"", ""auch"", ""der"", ""Wortfolge"", ""in"", ""ihrer"", ""Gesamtheit"", ""die"", ""Unterscheidungskraft"", ""i."", ""S."", ""v."", ""§"", ""8"", ""Abs."", ""2"", ""Nr."", ""1"", ""MarkenG"", ""nicht"", ""fehlt"", ""("", ""BGH"", "","", ""GRUR"", ""2014"", "","", ""565"", "","", ""Rn."", ""14"", ""–"", ""smartbook"", "";"", ""BGH"", "","", ""GRUR"", ""2014"", "","", ""872"", "","", ""Rn."", ""14"", ""–"", ""Gute"", ""Laune"", ""Drops"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14 ]"
"""7""","[ ""b"", "")"", ""Die"", ""Gesetzeshistorie"", ""des"", ""§"", ""55"", ""Abs"", ""3a"", ""Nr"", ""2"", ""SGB"", ""XI"", ""über"", ""die"", ""von"", ""der"", ""Befreiung"", ""vom"", ""Beitragszuschlag"", ""ausgenommenen"", ""Stiefeltern"", ""bestätigt"", ""dieses"", ""Ergebnis"", ""."" ]","[ 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""8""","[ ""Dahinstehen"", ""kann"", "","", ""ob"", ""dieser"", ""Bescheid"", ""ihn"", ""rechtswidrig"", ""begünstigt"", "","", ""weil"", ""die"", ""Beklagte"", ""bei"", ""dem"", ""Kläger"", ""zuvor"", ""gezahltes"", ""variables"", ""Entgelt"", ""elterngeldsteigernd"", ""berücksichtigt"", ""hat"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""9""","[ ""beruhen"", ""würde"", ""."" ]","[ 38, 38, 38 ]","[ 14, 14, 14 ]"
